Vehicle_ID,Frame,Avg_X_Center,Avg_Y_Center,Avg_Speed,Last_Region
49,509,524.15,164.3,13.539152400299562,north
49,519,536.8,179.45,15.98810794052516,north
49,529,552.95,198.0,21.264669503581924,north
49,539,574.85,222.95,28.79706222554816,center
49,549,603.85,256.8,38.439329414536175,center
49,559,642.55,302.45,52.1662194228161,center
49,569,694.5,365.45,70.30558435236232,center
49,579,761.65,450.05,91.74380459531511,center
49,591,844.8,555.1,101.74265610908739,south
52,429,1240.6,673.55,16.301847300003267,south
52,440,1218.85,643.4,34.486330293491015,south
52,450,1194.15,602.15,38.31550474361044,south
52,478,1142.95,531.5,44.02054662161011,south
52,492,1033.65,405.8,50.23150132762031,south
52,502,989.05,361.05,46.7291957228069,center
52,512,940.95,319.9,46.62518200995716,center
52,522,897.0,283.8,41.79065223061774,center
52,532,855.7,252.15,37.53512848318114,center
52,542,818.2,225.2,33.4530711606202,center
52,552,783.8,201.35,30.25231875711619,center
52,562,752.5,181.1,26.869030618138005,center
52,585,714.25,159.25,23.0746295180869,north
52,597,661.95,131.0,19.70387482071315,north
52,607,640.95,119.6,16.643046564429007,north
52,617,622.7,109.9,15.625674590069249,north
52,633,602.05,99.9,12.298845684659403,north
52,643,583.85,90.65,12.473700468367094,north
52,653,569.95,84.85,10.73966975493829,north
52,663,559.5,80.75,7.619024846303188,north
56,485,466.95,99.35,5.126238571831831,north
56,502,474.5,106.65,5.2660917089680925,north
56,512,481.55,112.3,6.168896254359338,north
56,522,485.7,117.5,5.726474656526917,north
56,532,490.55,122.95,7.979573534532037,north
56,542,498.45,130.0,8.096858009469345,north
56,552,506.05,138.55,10.173109750444896,north
56,562,515.35,148.25,10.913181292458983,north
56,572,525.85,160.1,13.200159558439683,north
56,582,538.7,174.35,16.044413217243164,north
56,592,554.75,192.4,20.230331817841275,north
56,602,574.35,214.7,24.8657079374179,center
56,612,599.75,244.9,33.977882670450654,center
56,622,632.1,284.55,44.314065305963055,center
56,632,675.85,338.05,59.44257383000978,center
56,642,732.7,409.2,77.40026461832949,center
56,652,804.6,499.65,96.13644189189496,south
56,666,888.15,601.5,90.22665802244296,south
57,493,1235.95,675.4,19.00174890485667,south
57,507,1194.3,619.05,40.99232651637904,south
57,517,1161.95,564.8,43.469348893757406,south
57,527,1122.9,515.95,50.453878555251144,south
57,539,1075.7,460.3,53.2088796996109,south
57,549,1024.3,405.0,50.62224989936417,south
57,559,974.2,359.25,51.54964063118761,center
57,569,926.2,317.25,46.193743574013624,center
57,579,881.45,281.15,41.74466602976702,center
57,589,840.15,249.55,37.52184012947588,center
57,599,802.55,223.15,32.69583812646964,center
57,609,769.35,200.85,29.019414052459126,center
57,619,739.75,181.65,24.98448924022108,center
57,629,713.35,165.3,22.432565401290624,center
57,639,690.75,151.8,17.956462863545127,north
57,649,669.75,139.75,18.485634734440417,north
57,659,651.05,129.5,15.584880082332509,north
57,669,634.65,119.95,14.663424827840482,north
57,679,619.2,111.8,13.142386914967654,north
61,535,452.75,80.55,2.7099689439582693,north
61,545,455.2,82.85,2.9631382481176196,north
61,559,459.25,86.3,5.224331459068557,north
61,572,465.4,92.25,4.845262617636606,north
61,582,470.35,96.45,5.85635876757574,north
61,592,475.75,102.25,7.14764237700968,north
61,602,482.4,108.05,7.957004872333084,north
61,612,489.05,114.65,7.354280951070453,north
61,622,496.25,122.7,10.008826889892319,north
61,632,506.7,132.5,11.641333013163521,north
61,642,519.75,144.85,15.414771735996672,north
61,652,534.55,159.75,16.743578150876907,north
61,662,551.7,177.85,21.579793979508523,north
61,672,574.25,201.45,27.35124137706548,north
61,682,603.5,231.85,35.95197978212373,center
61,692,640.85,272.95,48.05232689343282,center
61,702,690.7,330.1,65.60486825332994,center
61,724,837.75,514.2,106.06991720006349,south
62,568,477.65,170.3,5.553230939071785,north
62,578,479.5,177.75,5.8133409190828385,north
62,616,476.0,196.75,7.1051616835112075,north
62,626,471.6,207.3,4.969454580616409,north
62,662,465.7,214.35,6.9561172024694855,north
62,696,395.35,275.95,22.131550287912326,west
62,706,368.6,293.75,24.66986477726251,west
